State,Crop,Rainfall,Temperature,Humidity,Soil_Type,Fertilizer_Type,Yield
Meghalaya,Jowar,930.16,35.64,59.83,Red,Compost,123.58
Uttarakhand,Cotton,1059.07,35.04,46.13,Black,DAP,127.18
Uttar Pradesh,Pulses,252.26,25.04,47.82,Alluvial,Urea,87.16
Bihar,Jowar,520.27,20.37,78.05,Desert,MOP,101.03
Delhi,Jowar,955.41,30.99,76.25,Red,Urea,129.25
Haryana,Jowar,937.46,29.5,48.33,Laterite,DAP,129.13
Jharkhand,Cotton,1178.7,24.77,80.97,Alluvial,DAP,144.05
Uttarakhand,Wheat,901.93,38.64,56.81,Black,MOP,114.24
Rajasthan,Rice,390.02,39.51,87.16,Desert,Organic,94.44
Gujarat,Maize,344.47,31.73,40.46,Laterite,Organic,96.26
Assam,Jowar,938.82,26.71,66.57,Red,Urea,133.87
Mizoram,Barley,769.5,20.86,53.82,Red,DAP,101.37
Delhi,Jowar,1042.36,37.84,45.12,Red,MOP,124.05
Goa,Barley,974.44,33.65,81.29,Black,Organic,138.34
Karnataka,Pulses,292.5,36.84,64.54,Desert,Organic,84.14
Tamil Nadu,Bajra,668.7,28.04,88.91,Black,Organic,127.87
Telangana,Pulses,235.4,34.91,44.3,Black,Organic,81.63
Gujarat,Wheat,238.95,27.02,71.57,Mountain,MOP,91.52
Bihar,Cotton,375.27,32.88,56.58,Desert,DAP,104.84
Delhi,Bajra,665.96,22.92,75.75,Red,Compost,107.76
Maharashtra,Maize,470.17,25.93,68.56,Desert,Urea,98.9
Meghalaya,Sugarcane,966.65,32.63,84.55,Laterite,MOP,133.88
Jharkhand,Barley,911.64,20.31,80.1,Black,DAP,111.91
Mizoram,Wheat,555.03,37.99,67.57,Laterite,Urea,96.05
Jammu & Kashmir,Pulses,655.01,24.6,89.75,Alluvial,MOP,107.6
Rajasthan,Jowar,833.9,25.99,51.32,Laterite,Urea,115.59
Nagaland,Jowar,948.46,29.95,64.28,Mountain,MOP,135.64
Goa,Maize,721.88,33.35,40.6,Mountain,DAP,121.55
Manipur,Pulses,428.4,35.04,76.09,Desert,Urea,108.62
Himachal Pradesh,Cotton,414.31,34.48,63.89,Laterite,Urea,100.87
Jammu & Kashmir,Pulses,1028.55,39.29,59.27,Mountain,DAP,128.02
Manipur,Wheat,1081.6,23.39,84.64,Black,Urea,133.32
Mizoram,Pulses,1049.87,38.28,55.88,Black,Organic,120.28
Maharashtra,Bajra,1164.88,20.06,56.76,Mountain,Compost,129.09
Haryana,Cotton,443.22,27.52,59.03,Alluvial,Organic,99.89
Arunachal Pradesh,Maize,350.79,23.15,78.96,Mountain,Compost,91.4
Andhra Pradesh,Jowar,1034.92,27.34,82.4,Desert,Urea,130.91
Madhya Pradesh,Rice,1111,36.55,53.26,Desert,DAP,135.74
Goa,Wheat,1155.52,37.91,88.47,Alluvial,Urea,131.81
Himachal Pradesh,Sugarcane,600.23,31.32,83.54,Desert,DAP,117.58
Maharashtra,Barley,649.15,27.44,73.71,Red,DAP,111.08
Jharkhand,Barley,734.02,36.71,56.25,Laterite,MOP,104.31
Arunachal Pradesh,Pulses,581.92,34.85,79.08,Laterite,Organic,116.16
Jharkhand,Cotton,511.44,29.95,66.5,Mountain,DAP,111.63
Goa,Jowar,877.69,29.92,58.67,Black,MOP,137.6
Delhi,Maize,876.47,27.55,83.44,Black,DAP,133.47
Mizoram,Cotton,682.92,20.87,89.49,Laterite,Compost,107.23
Chhattisgarh,Pulses,397.39,35.72,44.17,Alluvial,Compost,96.28
Bihar,Sugarcane,878.23,31.61,63.85,Laterite,Urea,128.86
Sikkim,Pulses,270.97,30.34,54.61,Alluvial,Organic,95.94
Meghalaya,Rice,867.43,28.06,79.95,Black,DAP,132.93
Maharashtra,Cotton,257.3,22.94,45.33,Black,Compost,91.54
Punjab,Wheat,1017.08,28.34,83.63,Laterite,MOP,145
Telangana,Maize,716.49,30.19,47.58,Laterite,Urea,129.16
Gujarat,Sugarcane,1148.01,24.35,66.87,Laterite,MOP,133.43
Odisha,Rice,831.31,21.47,77.5,Alluvial,Organic,113.91
Uttar Pradesh,Wheat,644.9,36.3,68.43,Red,Organic,113.04
Meghalaya,Pulses,846.44,29.6,73.63,Alluvial,Urea,134.72
Karnataka,Maize,674.41,36.89,79.02,Desert,Compost,108.42
Jharkhand,Barley,513.73,27.06,45.42,Laterite,DAP,109.83
Rajasthan,Rice,512.84,28.15,74.89,Mountain,DAP,104.72
Madhya Pradesh,Pulses,332.72,22.74,74.99,Red,DAP,88.25
Punjab,Jowar,1097.31,29.62,73.98,Laterite,Organic,150.66
Himachal Pradesh,Maize,955.64,31.45,49.36,Alluvial,DAP,135.97
Odisha,Wheat,365.59,26.57,77.73,Laterite,Compost,106.08
Nagaland,Wheat,870.76,28.82,74.08,Desert,MOP,126.54
Meghalaya,Pulses,541.3,23.61,45.63,Alluvial,Organic,105.62
Bihar,Rice,815.91,26.36,86.77,Laterite,DAP,124.67
Tripura,Pulses,436.86,39.53,61.29,Red,Urea,97.41
Haryana,Wheat,532.27,35.08,42.75,Laterite,Compost,97.91
Andhra Pradesh,Barley,569.92,38.6,65.97,Laterite,Compost,107.05
Uttar Pradesh,Cotton,1147.82,21.73,68.4,Laterite,Organic,133.78
Bihar,Bajra,810.57,35.13,40.63,Black,Compost,120.45
Punjab,Rice,878.92,35.77,87.93,Red,Compost,116.43
Goa,Wheat,513.42,23.61,72.66,Laterite,DAP,95.67
Telangana,Rice,952.61,34.25,65.77,Mountain,Compost,122.91
Maharashtra,Wheat,398.25,23.08,68.25,Black,DAP,89.01
Uttar Pradesh,Pulses,485.55,34.68,88.72,Desert,Organic,103.25
Chhattisgarh,Rice,402.29,29.28,82.82,Red,MOP,115.6
Rajasthan,Maize,494.09,20.9,40.71,Black,Urea,99.61
Delhi,Pulses,253.84,32.74,70.18,Red,DAP,103.6
Chhattisgarh,Barley,683.9,32.63,47.78,Alluvial,Urea,110.13
Kerala,Jowar,810.17,24.28,54.53,Desert,Compost,119.86
Gujarat,Maize,313.7,24.84,67.28,Mountain,Urea,88.48
Gujarat,Bajra,886.93,26.79,59.09,Laterite,Urea,130.15
Telangana,Bajra,653.57,26.71,62.19,Alluvial,Urea,122.24
West Bengal,Barley,946.46,34.74,70.24,Black,MOP,126.09
Sikkim,Cotton,643.74,30.98,66.13,Desert,MOP,120.43
Assam,Jowar,1057.34,29.74,51.41,Alluvial,Compost,145.06
Assam,Maize,829.61,34.22,68.64,Alluvial,Compost,117.57
Rajasthan,Rice,750.36,22.12,62.45,Desert,Compost,111.22
Rajasthan,Barley,536.08,38.07,66.84,Mountain,MOP,102.16
Sikkim,Maize,415.54,38.66,43.01,Red,Urea,91.51
Rajasthan,Wheat,257.89,25.55,42.28,Mountain,DAP,94.05
Karnataka,Pulses,1164.77,28.84,45.64,Mountain,Compost,138.61
Tamil Nadu,Rice,1043.44,30.33,71.38,Mountain,Urea,145.52
Arunachal Pradesh,Bajra,880.64,29.58,45.63,Alluvial,DAP,123.44
Karnataka,Wheat,697.14,32.47,89.39,Alluvial,Compost,127.64
Arunachal Pradesh,Jowar,1055.84,28.61,54.89,Black,DAP,131.79
Chhattisgarh,Barley,1151.96,36.56,75.59,Laterite,Compost,141.54
Mizoram,Bajra,255.49,35.52,55.39,Laterite,Compost,96.96
Haryana,Wheat,439.82,37.92,51.88,Red,DAP,94.75
Odisha,Rice,774.15,21.61,42.62,Laterite,Organic,102.39
Sikkim,Pulses,469.92,25.88,58.73,Laterite,Organic,105.17
Goa,Maize,792.55,25.36,86.45,Mountain,Urea,123.57
Assam,Cotton,400.71,32.65,46.06,Black,Urea,107.14
Rajasthan,Rice,775.36,39.8,83.47,Black,DAP,104.7
Maharashtra,Bajra,1008.03,26.23,50.71,Black,MOP,126.59
Assam,Jowar,594.92,35.6,44.16,Red,Urea,99
Chhattisgarh,Maize,490.55,26.39,63.05,Mountain,Urea,112.47
West Bengal,Barley,558.87,25.9,73.35,Red,Organic,102.34
Uttar Pradesh,Cotton,567.47,26.14,86.43,Laterite,DAP,115.41
Sikkim,Rice,840.77,26.01,86.89,Red,DAP,131.68
Karnataka,Cotton,901.26,25.1,59.1,Desert,Compost,125.49
Assam,Cotton,905.56,38.07,74.48,Mountain,DAP,123.47
Gujarat,Sugarcane,842.9,25.07,60.05,Black,Organic,127.17
West Bengal,Wheat,994.75,31.35,73.43,Mountain,MOP,138.69
Telangana,Pulses,911.12,24.32,69.42,Red,Compost,121.8
Himachal Pradesh,Sugarcane,810.47,39.88,57.05,Black,MOP,115.26
Maharashtra,Bajra,820.4,29.57,78.84,Black,Organic,135.05
Chhattisgarh,Wheat,1175.25,27.52,51.5,Red,Organic,135.56
Assam,Wheat,614.27,33.57,40.55,Alluvial,MOP,106.47
Tripura,Rice,1023.45,25.85,80.81,Desert,Compost,132.21
Himachal Pradesh,Cotton,932.28,24.87,75.47,Laterite,DAP,131.96
Gujarat,Sugarcane,866.03,31.4,60.75,Desert,MOP,122.89
Nagaland,Barley,1116.17,27.61,48.93,Laterite,Compost,145.85
Meghalaya,Sugarcane,1030.06,37.35,84.44,Black,Urea,131.49
Chhattisgarh,Sugarcane,481.28,33.79,48.34,Red,Compost,106.92
Punjab,Cotton,272.22,28.73,41.34,Red,Organic,98.44
Gujarat,Barley,583.93,25.75,59.27,Red,MOP,109.88
Jammu & Kashmir,Barley,1191.16,38.68,87.68,Mountain,Urea,131.9
Gujarat,Cotton,1194.32,29.46,87.03,Red,Urea,154.95
Rajasthan,Pulses,697.15,24.42,66.91,Mountain,MOP,114.93
Mizoram,Cotton,798.56,26.94,71.33,Laterite,DAP,117.93
Jammu & Kashmir,Bajra,1006.23,34.45,62.03,Laterite,MOP,123.59
Rajasthan,Cotton,380.12,33.08,55.22,Laterite,MOP,98.31
Madhya Pradesh,Barley,428.05,22.15,78.54,Mountain,DAP,98.71
Jammu & Kashmir,Maize,417.57,29.63,67.75,Black,Urea,103.1
Andhra Pradesh,Sugarcane,552.83,30.8,54.6,Desert,Compost,118.84
Himachal Pradesh,Cotton,366.06,35.46,58.43,Alluvial,Compost,89.49
Gujarat,Bajra,405.39,32.09,45.27,Red,DAP,96.41
Gujarat,Maize,706.88,36.58,69.96,Desert,Urea,106.64
Mizoram,Rice,483.47,29.7,67.24,Red,DAP,107.99
Bihar,Barley,438.27,39.9,73.17,Red,DAP,89.38
Punjab,Cotton,684.76,21.95,84.52,Red,DAP,112.94
Delhi,Jowar,1056.8,37.17,41.2,Black,Urea,118.3
Madhya Pradesh,Barley,322.63,39.55,43.16,Mountain,Urea,88.45
Rajasthan,Maize,1023.24,38.51,50.35,Laterite,Compost,116.83
Assam,Barley,1068.28,23.46,79.38,Black,Compost,130.87
Jharkhand,Rice,843.17,32.39,73.49,Mountain,Organic,130.56
West Bengal,Bajra,1106.93,31.83,54.34,Black,MOP,141.89
Mizoram,Maize,308.34,30.45,86.34,Mountain,Compost,111.06
Assam,Bajra,702.19,33.76,78.82,Red,Compost,118.27
Odisha,Wheat,424.41,31.94,75.91,Mountain,Compost,105.16
Tripura,Wheat,1010.33,24.44,55.8,Alluvial,DAP,131.97
Assam,Sugarcane,590.98,36.14,44.02,Mountain,MOP,98.65
Goa,Pulses,845.2,20.36,65.84,Alluvial,MOP,108.92
Tripura,Maize,725.67,34.06,58.68,Laterite,DAP,122.53
Bihar,Pulses,985.22,36.74,82.16,Alluvial,Compost,123.14
Telangana,Bajra,972.99,20.86,63.2,Desert,Compost,115.42
Arunachal Pradesh,Barley,723.57,30.67,59.72,Mountain,Urea,126.72
Arunachal Pradesh,Wheat,760.86,24.49,62.37,Mountain,MOP,108.62
Madhya Pradesh,Rice,826,20.1,68.86,Black,Urea,117.16
Kerala,Wheat,581.11,33.23,80.89,Laterite,Compost,109.26
Jharkhand,Sugarcane,1183.38,24.23,65.56,Mountain,Urea,142.75
Kerala,Maize,1012.98,25.71,57.67,Laterite,Compost,137.21
Haryana,Pulses,602.83,29.97,40.33,Mountain,Urea,115.97
Goa,Pulses,430.66,25.26,73.28,Desert,Urea,94.75
Mizoram,Maize,242.94,31,76,Alluvial,Urea,98.23
Goa,Cotton,619.59,24.32,79.21,Desert,Compost,115.79
Rajasthan,Cotton,556.87,33.06,82.44,Laterite,DAP,111.59
Gujarat,Pulses,675.56,20.4,56.02,Desert,Organic,109.46
Goa,Cotton,751.83,20.09,41.46,Alluvial,Compost,108.44
Tamil Nadu,Barley,1054.25,29.09,78.97,Black,Urea,147.06
Chhattisgarh,Sugarcane,506.79,25.25,74.89,Desert,Urea,100.15
Rajasthan,Bajra,1102.43,24.52,80.62,Black,Compost,135.3
Punjab,Bajra,825.51,22.5,67.19,Alluvial,Compost,115.17
Uttarakhand,Cotton,469.77,30.5,42.38,Mountain,Urea,104.27
Himachal Pradesh,Barley,694.4,27.96,85.32,Black,Compost,118.86
Punjab,Maize,243.88,20.43,51.52,Laterite,Compost,75.05
Telangana,Sugarcane,481.85,38.7,77.75,Laterite,Compost,95.59
Kerala,Pulses,657.77,25.28,54.71,Black,MOP,117.2
Delhi,Rice,1066.94,20.59,60.5,Alluvial,DAP,119.75
Arunachal Pradesh,Cotton,802,20.82,87.01,Red,Urea,108.93
Goa,Jowar,474.58,35.55,45.53,Black,Compost,100.79
Arunachal Pradesh,Maize,851.38,31.55,68.95,Alluvial,MOP,134.19
Chhattisgarh,Jowar,397.55,30.51,76.68,Alluvial,Compost,110.94
Bihar,Rice,438.53,22.76,75.53,Black,Compost,102.66
Kerala,Jowar,732.79,22.11,46.65,Red,MOP,114.58
Rajasthan,Cotton,200.61,37.9,89.34,Red,Organic,78.84
Tamil Nadu,Sugarcane,297.22,25.07,76.84,Laterite,DAP,90.42
Chhattisgarh,Jowar,527.71,22.73,46.98,Black,Urea,106.44
Kerala,Barley,1185.1,32.42,49.13,Alluvial,Compost,148.52
Tamil Nadu,Maize,287.22,20.81,63.63,Black,Organic,84.37
Madhya Pradesh,Jowar,684.5,26.1,41.44,Red,DAP,117.79
Punjab,Jowar,861.15,36.8,75.58,Black,DAP,119.96
Karnataka,Bajra,394.86,36.73,41.62,Desert,Urea,88.59
Arunachal Pradesh,Rice,933.22,26.3,51.6,Red,MOP,127.33
Punjab,Cotton,687.5,39.49,67.02,Desert,Compost,98.2
Maharashtra,Pulses,331.89,32.96,73.66,Alluvial,Organic,99.13
Telangana,Sugarcane,1044.06,22.19,59,Mountain,Compost,121.5
Madhya Pradesh,Bajra,285.72,36.3,61.18,Red,MOP,89.48
Arunachal Pradesh,Pulses,264.3,37.97,58.05,Desert,Organic,89.51
Mizoram,Sugarcane,245.69,34.78,87.76,Alluvial,DAP,91.8
Karnataka,Wheat,567.27,38.24,55.88,Mountain,DAP,94.28
Kerala,Rice,1140.11,30.11,73.37,Red,MOP,150.05
Jammu & Kashmir,Barley,1003.25,26.99,57.36,Desert,Urea,135.45
Nagaland,Rice,519.58,25.95,86.03,Alluvial,Organic,107.4
Odisha,Sugarcane,335.18,32.37,83.33,Alluvial,Compost,106.39
West Bengal,Barley,591.73,39.97,43.41,Desert,Organic,100.54
Telangana,Sugarcane,780.5,25.51,65.35,Mountain,Urea,124.26
Telangana,Pulses,347.83,21.48,80.37,Laterite,MOP,92.47
Jharkhand,Jowar,247.28,32.1,53.01,Red,DAP,93.75
Telangana,Maize,669.02,34.16,89.26,Desert,Compost,120.7
Nagaland,Rice,449.04,39.09,87.67,Mountain,Compost,99.47
Telangana,Bajra,923.09,25.65,86.51,Laterite,Compost,123.59
Manipur,Bajra,1072.1,24.91,72.17,Red,Organic,135.27
Mizoram,Wheat,1090.77,26.16,71.25,Laterite,Organic,132.04
Tripura,Sugarcane,387.1,35.49,67.97,Desert,Compost,101.38
Punjab,Sugarcane,401.46,30.55,78.24,Black,Organic,112.61
Assam,Jowar,740.69,32.24,68.27,Desert,Urea,126.36
Punjab,Jowar,305.89,37.9,78.46,Red,MOP,89.24
Punjab,Barley,631.71,24.33,78.57,Desert,MOP,115.73
Mizoram,Barley,810.13,23.26,78.16,Mountain,Urea,119.94
West Bengal,Barley,316.47,25.25,50.39,Desert,MOP,91.36
Uttarakhand,Bajra,605.92,32.17,59.47,Desert,Organic,108.32
Maharashtra,Wheat,992.18,24.1,64.76,Laterite,Compost,122.39
Odisha,Rice,1051.34,34.89,50.19,Mountain,DAP,131.84
Nagaland,Maize,849.99,32.5,45.08,Alluvial,Compost,123.3
Gujarat,Rice,810.17,24.14,48.31,Black,Urea,117.8
Gujarat,Wheat,522.29,33.42,80.83,Laterite,DAP,102.88
Uttar Pradesh,Cotton,1028.29,21.78,41.86,Desert,Urea,121.89
Manipur,Bajra,448.91,22.84,89.82,Red,Organic,98.41
Rajasthan,Pulses,558.73,26.52,40.64,Alluvial,MOP,103.64
Madhya Pradesh,Maize,1141.05,27.6,40.07,Laterite,DAP,140.54
Manipur,Wheat,970.58,27.84,42.84,Black,Compost,135.68
Manipur,Pulses,962.88,20.12,48.29,Laterite,DAP,117.17
Tripura,Wheat,371.99,26.27,42.15,Alluvial,Urea,99.07
Himachal Pradesh,Wheat,736.93,29.06,61.78,Red,DAP,117.16
Mizoram,Pulses,646.09,23.97,85.68,Laterite,DAP,113.87
Sikkim,Jowar,710.78,33.64,81.26,Black,Urea,120.34
Uttar Pradesh,Rice,1144.86,34.85,70.79,Black,MOP,136.01
Uttarakhand,Bajra,966.4,32.45,40.41,Mountain,MOP,123.84
Maharashtra,Wheat,568.89,23.48,41.3,Alluvial,MOP,102.3
Himachal Pradesh,Barley,323.64,21.04,66.15,Mountain,Organic,93.95
Manipur,Barley,1107.31,31.86,45.5,Mountain,Compost,134.93
Kerala,Rice,549.74,39,55.19,Red,Compost,90.15
Tamil Nadu,Bajra,1023.62,27.66,59.62,Black,Organic,138.1
Telangana,Jowar,432.7,28.3,59.4,Red,Urea,105.58
Meghalaya,Rice,975.14,34.51,49.31,Alluvial,Compost,120.94
Telangana,Maize,714.24,27.87,75.15,Mountain,MOP,119.13
Chhattisgarh,Maize,272.91,24.74,53.15,Desert,Urea,98.13
Arunachal Pradesh,Jowar,1020.38,20.42,67.76,Alluvial,DAP,115.58
Tamil Nadu,Barley,349.74,23.64,85.5,Black,Compost,99.43
Punjab,Barley,578.15,23.32,71.56,Laterite,DAP,106.4
Uttar Pradesh,Sugarcane,782.49,30.01,76.27,Mountain,MOP,129.28
Jammu & Kashmir,Cotton,502.76,29.77,42.26,Red,MOP,115.98
Maharashtra,Pulses,1013.99,33.62,63.22,Red,Compost,129.93
Andhra Pradesh,Sugarcane,740.79,28.38,48.82,Red,MOP,124.2
Arunachal Pradesh,Jowar,955.7,34.03,48.21,Red,Urea,127.18
Punjab,Rice,436.04,33.27,64.6,Mountain,Compost,98
Jharkhand,Sugarcane,649.98,35.98,74.45,Mountain,MOP,116.34
Goa,Sugarcane,268.53,22.9,57.65,Alluvial,DAP,92.55
Arunachal Pradesh,Jowar,1081.19,23.7,83.96,Red,Organic,133.81
Punjab,Sugarcane,966.8,38.91,77.34,Black,Compost,127.45
Assam,Rice,363.56,33.37,45.62,Black,Compost,101.12
Telangana,Barley,412.54,26.13,49.45,Red,DAP,105.04
Meghalaya,Barley,1156.39,26.96,84.66,Black,MOP,143.48
Andhra Pradesh,Rice,398.66,31.11,72.21,Mountain,Organic,108.94
Odisha,Maize,497.33,37.83,62.69,Black,Organic,103.68
West Bengal,Rice,913.62,34.53,45.4,Red,Compost,124.64
West Bengal,Sugarcane,562.83,23.02,50.95,Alluvial,Compost,108.27
Kerala,Wheat,203.08,37.97,58.08,Laterite,Urea,79.68
Himachal Pradesh,Cotton,782.04,37.92,54.97,Desert,DAP,113.49
Uttar Pradesh,Sugarcane,1116,23.01,72,Desert,Organic,130.99
Goa,Rice,878.61,30.63,46.55,Black,Organic,129.48
West Bengal,Barley,541.91,33.33,59.89,Mountain,Organic,107.04
Maharashtra,Sugarcane,270.39,28.74,59.22,Mountain,Compost,100.73
Tripura,Barley,457.04,24.28,61.67,Mountain,Compost,94.86
Chhattisgarh,Jowar,757.41,35.94,44.4,Mountain,MOP,117.18
Jharkhand,Bajra,797.84,37.17,87.73,Red,Organic,114.9
West Bengal,Maize,931.39,39.76,76.39,Alluvial,MOP,111.71
Chhattisgarh,Barley,200.27,22.01,67,Desert,Compost,89.9
Telangana,Jowar,509.02,23.51,53.18,Mountain,Organic,107.33
Karnataka,Maize,638.78,32.63,59.89,Laterite,Urea,110.3
Kerala,Wheat,843,39.01,60.86,Alluvial,Organic,113.35
Rajasthan,Sugarcane,456.01,25.77,69.58,Laterite,MOP,105.99
Meghalaya,Barley,802.82,33.65,67.43,Laterite,Compost,115.64
Bihar,Rice,407.32,37.84,47.57,Desert,MOP,86.91
West Bengal,Barley,1114.82,31.85,80.15,Alluvial,MOP,142.93
Karnataka,Bajra,439.58,32.31,41.86,Alluvial,Urea,98.14
Madhya Pradesh,Rice,752.82,22.7,49.82,Red,DAP,117.23
Haryana,Pulses,621.96,35.03,51.26,Desert,DAP,111.44
Bihar,Bajra,525.05,37.75,48.09,Desert,MOP,99.5
Madhya Pradesh,Rice,509.68,35.47,57.8,Laterite,Organic,101.71
Sikkim,Bajra,756.83,30.46,66.93,Desert,DAP,123.23
Jharkhand,Bajra,1080.14,30.43,85.46,Laterite,DAP,148.68
West Bengal,Bajra,1106.19,32.54,68.06,Laterite,Urea,144.21
Andhra Pradesh,Jowar,1138.26,35.11,74.24,Desert,Compost,140.18
West Bengal,Sugarcane,853.72,22.32,83.92,Black,DAP,116.59
Delhi,Jowar,566.11,37.16,59.79,Laterite,Urea,97.76
Chhattisgarh,Sugarcane,214.74,23.26,75.87,Desert,MOP,85.73
Kerala,Sugarcane,570.13,20.64,80.17,Red,Organic,97.67
Madhya Pradesh,Bajra,483.14,26.52,76.32,Red,Compost,104.84
Meghalaya,Rice,906.39,20.12,63.1,Red,Urea,117.56
Manipur,Sugarcane,472.34,37.16,43.79,Alluvial,MOP,89.24
Odisha,Jowar,778.64,39.02,89.32,Laterite,DAP,112.32
Sikkim,Rice,1086,22.78,67.95,Black,Compost,124.46
Manipur,Jowar,533.05,38.36,42.97,Red,Urea,94.76
Arunachal Pradesh,Bajra,1051.69,38.73,51.12,Black,DAP,122.45
Rajasthan,Wheat,571.09,22.68,82.92,Black,Compost,105.06
Goa,Pulses,782.79,27.59,40.76,Alluvial,Organic,122.82
Gujarat,Wheat,458.47,33.13,44.17,Red,Organic,106.83
Andhra Pradesh,Rice,1151.91,38.4,67.91,Alluvial,Organic,127.79
Tamil Nadu,Maize,645.39,31.46,66.9,Laterite,Compost,116.9
Meghalaya,Wheat,850.58,32.5,69.21,Laterite,DAP,132.72
Jharkhand,Wheat,771.51,38.37,86.81,Laterite,Urea,107.96
Mizoram,Maize,256.94,20.3,51.81,Red,MOP,76.08
Gujarat,Rice,1036.65,31.29,67.65,Desert,Organic,143.38
Bihar,Cotton,319.61,27.8,58.83,Desert,Organic,104.92
Sikkim,Maize,394.52,35.17,52.13,Black,Compost,95.07
Telangana,Barley,559.66,32.08,87.06,Desert,Organic,115.6
Meghalaya,Cotton,370.73,34.17,55.76,Desert,Organic,94.7
Punjab,Cotton,1180,37.33,65.5,Black,Compost,138.44
Meghalaya,Jowar,571.46,26.65,53.39,Alluvial,DAP,116.93
Gujarat,Maize,764.3,21.65,52.88,Desert,Compost,111.05
Sikkim,Cotton,395.65,38.93,77.85,Laterite,Compost,86.74
Chhattisgarh,Sugarcane,204.4,29.16,54.99,Desert,DAP,93.64
Assam,Maize,271.31,37.23,69.74,Mountain,Organic,90.21
Sikkim,Maize,803.11,38.93,63.77,Alluvial,Urea,107.27
Gujarat,Rice,718.6,32.98,74.48,Mountain,MOP,117.48
Jharkhand,Sugarcane,1160.13,36.8,79.5,Red,Urea,134.38
Delhi,Bajra,761.08,26.22,68.03,Desert,Organic,125.64
Haryana,Maize,1162.55,30.59,77.5,Mountain,Organic,142.33
Andhra Pradesh,Pulses,677.43,34.65,51.75,Alluvial,Urea,110.9
West Bengal,Cotton,440.03,37.51,74.16,Alluvial,Urea,93.98
Tamil Nadu,Maize,856.15,29.09,55.73,Mountain,Organic,127.6
Nagaland,Barley,270.49,26.81,76.32,Mountain,DAP,100.75
Maharashtra,Maize,1050.6,39.03,49.68,Mountain,Compost,125.48
Delhi,Jowar,770.63,25.3,46.86,Mountain,DAP,116.07
Nagaland,Barley,1041.29,23.5,77.18,Black,Organic,125.06
Himachal Pradesh,Wheat,539.04,28.8,78.11,Red,DAP,107.72
Gujarat,Pulses,252.72,33.38,85.55,Mountain,Compost,90.41
Odisha,Cotton,1150.03,28.15,48.34,Mountain,Compost,139.4
Manipur,Rice,500.77,32.3,46.28,Mountain,Organic,114.23
Punjab,Wheat,749.41,27.34,61.54,Mountain,Compost,117
Karnataka,Barley,736.16,38.05,57.03,Mountain,Organic,116.19
Assam,Barley,1187.92,34.61,40.44,Alluvial,MOP,132.68
Manipur,Maize,848.11,23.52,48.43,Black,DAP,112.41
Delhi,Sugarcane,1049.8,28.58,83.39,Alluvial,DAP,138.24
Haryana,Barley,688.28,39.42,52.95,Alluvial,Compost,99.28
Arunachal Pradesh,Pulses,909.9,24.29,71.37,Red,Urea,125.72
Uttar Pradesh,Cotton,763.86,21.1,76.55,Mountain,Compost,103.33
Uttar Pradesh,Bajra,525.62,38.17,87.25,Mountain,Urea,103.16
Mizoram,Cotton,1125.67,28.96,60.19,Laterite,Organic,146.31
Andhra Pradesh,Bajra,268,24.52,67.28,Mountain,Organic,89.18
Uttarakhand,Rice,264.56,24.11,85.41,Laterite,DAP,86.06
Meghalaya,Maize,1088.83,24.5,65.53,Alluvial,MOP,134.72
Andhra Pradesh,Rice,369.9,39.64,42.17,Black,MOP,90.39
